127.0.0.1 - - [06/Dec/2017:10:18:13 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/controller/registerController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/controller/loginController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/script/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/controller/ForgotPassword.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/css/registrationPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/css/forgetpassword.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/services/forgotPasswordService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/services/loginService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/services/registerService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:16 +0530] "GET /ToDoProject/directives/CustomDirectives.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:17 +0530] "GET /ToDoProject/htmlpages/Login.html HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:17 +0530] "GET /ToDoProject/images/googleimg.svg HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:34 +0530] "POST /ToDoProject/login HTTP/1.1" 202 52
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:34 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:18:34 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:19:00 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:04 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/script/home.js HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/controller/registerController.js HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/controller/ForgotPassword.js HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/controller/loginController.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/css/login.css HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/services/loginService.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/css/forgetpassword.css HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/css/registrationPage.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/directives/CustomDirectives.js HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/services/forgotPasswordService.js HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:05 +0530] "GET /ToDoProject/services/registerService.js HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:07 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:07 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [06/Dec/2017:10:24:19 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3661
