127.0.0.1 - - [15/Jan/2018:09:51:18 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:35 +0530] "GET /ToDoProject/ HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/bower_components/ng-file-upload/ng-file-upload.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/controller/loginController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/controller/registerController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/bower_components/angular-base64-upload/dist/angular-base64-upload.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/bower_components/angular-base64/angular-base64.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/css/forgetpassword.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/css/registrationPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/controller/ForgotPassword.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/controller/dummyController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/services/registerService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/services/loginService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/services/dummyService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:37 +0530] "GET /ToDoProject/script/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:38 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:38 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:38 +0530] "GET /ToDoProject/directives/CustomDirectives.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:38 +0530] "GET /ToDoProject/services/forgotPasswordService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:38 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:40 +0530] "GET /ToDoProject/htmlpages/Login.html HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:40 +0530] "GET /ToDoProject/images/googleimg.svg HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "POST /ToDoProject/login HTTP/1.1" 202 82
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/htmlpages/TopNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/getUser HTTP/1.1" 200 11374
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/htmlpages/SideNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/colorpallet.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/collaborator.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/image.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/reminder.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/archive.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/pinned.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/unpinned.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/Red.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/orange.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/lightyellow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/skyblue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/note/getLabelAllLabels HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/blue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/purple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/pink.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/label.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/notes.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/brown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/gridlist.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/list1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/trash.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/grey.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:51:59 +0530] "GET /ToDoProject/images/plus.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2018:09:52:04 +0530] "POST /ToDoProject/getUrlData HTTP/1.1" 200 196
127.0.0.1 - - [15/Jan/2018:09:52:20 +0530] "GET /ToDoProject/ HTTP/1.1" 200 4196
127.0.0.1 - - [15/Jan/2018:09:52:21 +0530] "GET /ToDoProject/bower_components/angular-base64/angular-base64.min.js HTTP/1.1" 304 -
