127.0.0.1 - - [14/Dec/2017:09:28:00 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:28:14 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:28:15 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:28:15 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:28:15 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:28:15 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:28:15 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:28:15 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:28:15 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:28:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:28:52 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:06 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:06 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:06 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:06 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:06 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:06 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:06 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:06 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:09 +0530] "GET /ToDoProject/htmlpages/Login.html HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:09 +0530] "GET /ToDoProject/images/googleimg.svg HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:16 +0530] "POST /ToDoProject/login HTTP/1.1" 202 52
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:16 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/htmlpages/TopNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/htmlpages/SideNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/Red.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/lightyellow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/orange.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/skyblue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/purple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/pink.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/grey.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/blue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:17 +0530] "GET /ToDoProject/images/brown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:30:22 +0530] "GET /ToDoProject/htmlpages/showDialog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:42:27 +0530] "POST /ToDoProject/user/update HTTP/1.1" 500 56
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:42:28 +0530] "POST /ToDoProject/user/update HTTP/1.1" 500 56
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:42:28 +0530] "POST /ToDoProject/user/update HTTP/1.1" 500 56
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:43:46 +0530] "DELETE /ToDoProject/user/deleteNote/2 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:43:51 +0530] "POST /ToDoProject/user/update HTTP/1.1" 500 56
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 200 6269
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/controller/loginController.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/controller/ForgotPassword.js HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/controller/registerController.js HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/css/registrationPage.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/css/login.css HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/services/loginService.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/services/registerService.js HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/css/forgetpassword.css HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/services/forgotPasswordService.js HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:42 +0530] "GET /ToDoProject/directives/CustomDirectives.js HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:46 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:49:46 +0530] "GET /ToDoProject/htmlpages/TopNavBar.html HTTP/1.1" 200 2448
