127.0.0.1 - - [19/Jan/2018:11:34:45 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:34:46 +0530] "GET /ToDoProject/ HTTP/1.1" 200 4194
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:34:46 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:34:46 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:34:48 +0530] "GET /ToDoProject/htmlpages/Login.html HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:34:48 +0530] "GET /ToDoProject/images/googleimg.svg HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:34:50 +0530] "GET /ToDoProject/logInWithFaceBook HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:34:54 +0530] "GET /ToDoProject/logInWithGoogle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:01 +0530] "GET /ToDoProject/connectGoogle?state=d83588db-7153-4325-850e-a41d1a1d75be&code=4/jUZbV4Y7uMTfVPQqHy44aJH1JXXDJjFUU5fiwqCyttA HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:01 +0530] "GET /ToDoProject/ HTTP/1.1" 200 4194
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:01 +0530] "GET /ToDoProject/dummy HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:01 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:01 +0530] "GET /ToDoProject/htmlpages/SideNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:02 +0530] "GET /ToDoProject/getUser HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:02 +0530] "GET /ToDoProject/note/getLabelAllLabels HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:02 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:41 +0530] "GET /ToDoProject/htmlpages/searchbar.html HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:41 +0530] "GET /ToDoProject/getUser HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:41 +0530] "GET /ToDoProject/note/getLabelAllLabels HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:41 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:44 +0530] "GET /ToDoProject/getUser HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:44 +0530] "GET /ToDoProject/note/getLabelAllLabels HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:35:44 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:36:30 +0530] "POST /ToDoProject/login HTTP/1.1" 400 80
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:36:43 +0530] "POST /ToDoProject/login HTTP/1.1" 202 82
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:36:43 +0530] "GET /ToDoProject/getUser HTTP/1.1" 200 130675
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:36:43 +0530] "GET /ToDoProject/note/getLabelAllLabels HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:36:43 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 6930
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:36:46 +0530] "POST /ToDoProject/getUrlData HTTP/1.1" 200 -
