127.0.0.1 - - [25/Jan/2018:09:42:03 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:42:55 +0530] "GET /ToDoProject/ HTTP/1.1" 200 4266
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:43:14 +0530] "GET /ToDoProject/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:43:14 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:43:14 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:43:14 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:43:14 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 200 20062
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:43:18 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:43:18 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:43:23 +0530] "GET /ToDoProject/htmlpages/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:43:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:45:16 +0530] "POST /ToDoProject/login HTTP/1.1" 202 82
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:45:16 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:45:17 +0530] "GET /ToDoProject/getUser HTTP/1.1" 200 130675
0:0:0:0:0:0:0:1 - - [25/Jan/2018:09:45:17 +0530] "GET /ToDoProject/note/getLabelAllLabels HTTP/1.1" 200 81
