0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/services/loginService.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/controller/registerController.js HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 200 3476
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/css/registrationPage.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/controller/loginController.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/css/login.css HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/controller/ForgotPassword.js HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/directives/CustomDirectives.js HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/css/forgetpassword.css HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/services/forgotPasswordService.js HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/services/registerService.js HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 200 7990
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/htmlpages/TopNavBar.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/htmlpages/SideNavBar.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/images/archive.svg HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/images/pinned.svg HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/images/unpinned.svg HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/images/gridlist.svg HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/images/profile.jpg HTTP/1.1" 200 6714
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/images/list1.png HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/images/reminder.svg HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/images/colors.svg HTTP/1.1" 200 49099
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:57 +0530] "GET /ToDoProject/images/collaborator.svg HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:58 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:58 +0530] "GET /ToDoProject/images/colorpallet.svg HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:58 +0530] "GET /ToDoProject/images/colors.svg HTTP/1.1" 200 49099
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:58 +0530] "GET /ToDoProject/images/more.svg HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/controller/loginController.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/css/login.css HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/controller/registerController.js HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/css/registrationPage.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/controller/ForgotPassword.js HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/services/loginService.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/services/registerService.js HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/services/forgotPasswordService.js HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/css/forgetpassword.css HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 200 3476
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/directives/CustomDirectives.js HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:54 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 200 7992
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/htmlpages/TopNavBar.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/htmlpages/SideNavBar.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/reminder.svg HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/colors.svg HTTP/1.1" 200 49099
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/collaborator.svg HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/pinned.svg HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/unpinned.svg HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/archive.svg HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/gridlist.svg HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/list1.png HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/profile.jpg HTTP/1.1" 200 6714
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/colors.svg HTTP/1.1" 200 49099
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/more.svg HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:11:56 +0530] "GET /ToDoProject/images/colorpallet.svg HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/controller/ForgotPassword.js HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/services/loginService.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/css/login.css HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/controller/registerController.js HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/controller/loginController.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/css/registrationPage.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/css/forgetpassword.css HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 200 3476
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/directives/CustomDirectives.js HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/services/forgotPasswordService.js HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/services/registerService.js HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:05 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 200 7992
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/htmlpages/TopNavBar.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/htmlpages/SideNavBar.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/reminder.svg HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/colors.svg HTTP/1.1" 200 49099
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/collaborator.svg HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/pinned.svg HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/archive.svg HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/unpinned.svg HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/gridlist.svg HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/profile.jpg HTTP/1.1" 200 6714
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/list1.png HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/colors.svg HTTP/1.1" 200 49099
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/colorpallet.svg HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:11 +0530] "GET /ToDoProject/images/more.svg HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/controller/loginController.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/css/registrationPage.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/css/login.css HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/services/loginService.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/controller/ForgotPassword.js HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/css/forgetpassword.css HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/services/registerService.js HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/services/forgotPasswordService.js HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/controller/registerController.js HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 200 3476
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:20 +0530] "GET /ToDoProject/directives/CustomDirectives.js HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 200 7992
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/htmlpages/TopNavBar.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/htmlpages/SideNavBar.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/pinned.svg HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/collaborator.svg HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/colors.svg HTTP/1.1" 200 49099
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/reminder.svg HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/archive.svg HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/unpinned.svg HTTP/1.1" 200 222
